ID_music,music,artists,total_artists,released_year,released_month,released_day,released_date,day_week_released,spotify_playlists,spotify_charts,streams,apple_playlists,apple_charts,deezer_playlists,deezer_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
158,Counting Stars,OneRepublic,1,2013,1,1,1/1/2013,Terça-Feira,29215,43,2011464183,179,97,3.394,11,122,C#,Minor,66,48,71,6,0,12,4
159,Ghost,Justin Bieber,1,2021,3,19,19/3/2021,Sexta-Feira,5866,24,1167330737,107,38,95,0,154,D,Major,61,41,74,21,0,40,6
160,Under The Influence,Chris Brown,1,2019,10,4,4/10/2019,Sexta-Feira,3859,26,929964809,133,181,3,0,117,A,Minor,73,31,69,6,0,11,4
161,Prc,"Natanael Cano, Peso Pluma",2,2023,1,23,23/1/2023,Segunda-Feira,961,26,436027885,19,143,10,6,138,G,Minor,78,89,83,10,0,12,5
162,Gasolina,Daddy Yankee,1,2004,7,13,13/7/2004,Terça-Feira,6457,18,657723613,98,95,453,0,96,,Major,86,74,80,33,0,8,6
163,One Dance,"Drake, WizKid, Kyla",3,2016,4,4,4/4/2016,Segunda-Feira,43257,24,2713922350,433,107,3.631,0,104,C#,Major,77,36,63,1,0,36,5
164,Enchanted,Taylor Swift,1,2010,1,1,1/1/2010,Sexta-Feira,4564,16,621660989,24,101,113,0,164,G#,Major,45,24,62,8,0,16,3
165,Save Your Tears,The Weeknd,1,2020,3,20,20/3/2020,Sexta-Feira,12688,13,1591223784,197,115,112,0,118,,Major,68,61,82,2,0,50,3
166,Sure Thing,Miguel,1,2010,5,25,25/5/2010,Terça-Feira,13801,19,950906471,137,125,435,6,81,B,Minor,68,51,60,3,0,19,10
167,Every Breath You Take ,The Police,1,1983,1,6,6/1/1983,Quinta-Feira,22439,19,1593270737,211,74,929,0,117,C#,Major,82,73,45,54,0,7,3
168,The Night We Met,Lord Huron,1,2015,2,2,2/2/2015,Segunda-Feira,18515,35,1410088830,70,82,939,1,174,D,Major,45,10,37,97,25,64,4
169,We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,1/1/2011,Sábado,36843,21,1235005533,321,91,4.607,1,128,C#,Major,73,60,77,3,0,11,4
